Project Name,2020 Price,2021 Price,2022 Price,2023 Price,2024 Price,2025 Price,2026 Price,Appreciation,Appreciation_Clean_%,Area,Community Type,DWC Travel Time,DXB Travel Time,Developer,Downtown Travel Time,File1 Appreciation,ID,Launch Year,Marina Travel Time,Master Community,PPSM,Price_Segment,Price_Vs_Community_Avg_%,Project_Stage,Projected_CAGR_24_26,Rental Yield %,Service Charge,Start Price,Unit Type
Grand Polo Club & Resort,,,,,"1,450","1,660","1,760",+18% (Since Launch),18,Emaar South,Gated/Golf,5m,45m,Emaar Properties,45m,,1,2024,35m,Emaar South,900,Mid-Range,,Under Construction / New,0.101722789,6.5,4.5,"3,500,000",Villas/Townhouses
Equiterra Phase 1,,,,,"1,800","2,010","2,110",+15% (Since Launch),15,The Oasis,Waterfront/Luxury,20m,30m,Emaar Properties,25m,,2,2024,20m,The Oasis,,Luxury,,Under Construction / New,0.082692118,5.5,5,"12,000,000",Luxury Villas
Equiterra Phase 2,,,,,"1,850","2,030","2,140",+12% (Since Launch),12,The Oasis,Waterfront/Luxury,20m,30m,Emaar Properties,25m,,3,2024,20m,The Oasis,,Luxury,,Under Construction / New,0.07552627,5.5,5,"12,500,000",Luxury Villas
Equestra,,,,,"15,000,000","1,900","1,980",+8% (Since Launch),8,The Oasis,Waterfront/Luxury,20m,30m,Emaar Properties,25m,,4,2025,20m,The Oasis,,Luxury,,Under Construction / New,,5.5,5.2,"15,000,000",Luxury Villas
Chevalia Estate 2,,,,,"16,000,000","2,200","2,310",+5% (Since Launch),5,The Oasis,Waterfront/Luxury,20m,30m,Emaar Properties,25m,,5,2025,20m,The Oasis,,Luxury,,Under Construction / New,,5.5,6,"16,000,000",Mansions
Selvara Phase 3,,,,,"6,200,000","1,550","1,660",+7% (Since Launch),7,Grand Polo Club,Gated/Sport,10m,40m,Emaar Properties,35m,,6,2025,25m,Grand Polo Club,,Luxury,,Under Construction / New,,,4.8,"6,200,000",Villas
Rashid Yachts & Marina,,,"1,600","1,880","2,100","2,310","2,450",+45% (Community Avg),45,Port Rashid,Waterfront/Marina,40m,15m,Emaar Properties,15m,,8,2022,25m,Port Rashid,,Unknown,,Recently Delivered,0.08012345,,18.5,Community,Apartments
Selvara Phase 4,,,,,"6,450,000",,"1,620",+2% (Since Launch),2,Grand Polo Club,Gated/Sport,10m,40m,Emaar Properties,35m,,7,2026,25m,Grand Polo Club,,Luxury,,Under Construction / New,,,4.8,"6,450,000",Villas
Aurea,,,,,"2,200","2,500","2,680",+20%,20,Rashid Yachts,Waterfront/Marina,40m,15m,Emaar Properties,15m,,9,2024,25m,Rashid Yachts,,Mid-Range,,Under Construction / New,0.103712743,6,19,"1,900,000",Apartments
Pier Point,,,,,"2,150","2,410","2,550",+14%,14,Rashid Yachts,Waterfront/Marina,40m,15m,Emaar Properties,15m,,10,2024,25m,Rashid Yachts,,Mid-Range,,Under Construction / New,0.089057625,6,19,"3,190,000",Apartments
