ID,Project Name,Master Community,Launch Year,Start Price,Appreciation,Developer,Area,Unit Type,Community Type,2020 Price,2021 Price,2022 Price,2023 Price,2024 Price,2025 Price,2026 Price,Service Charge,PPSM,Rental Yield %,File1 Appreciation,DXB Travel Time,DWC Travel Time,Downtown Travel Time,Marina Travel Time,Appreciation_Clean_%,Price_Segment,Projected_CAGR_24_26,Price_Vs_Community_Avg_%,Project_Stage
1,Grand Polo Club & Resort,Emaar South,2024,"3,500,000",+18% (Since Launch),Emaar Properties,Emaar South,Villas/Townhouses,Gated/Golf,,,,,"1,450","1,660","1,760",4.5,900,6.5,,45m,5m,45m,35m,18.0,Mid-Range,0.0898,-26.19,Established
2,Equiterra Phase 1,The Oasis,2024,"12,000,000",+15% (Since Launch),Emaar Properties,The Oasis,Luxury Villas,Waterfront/Luxury,,,,,"1,800","2,010","2,110",5,"1,600",5.5,,30m,20m,25m,20m,15.0,Mid-Range,0.0876,-23.95,Established
3,Equiterra Phase 2,The Oasis,2024,"12,500,000",+12% (Since Launch),Emaar Properties,The Oasis,Luxury Villas,Waterfront/Luxury,,,,,"1,850","2,030","2,140",5,"1,600",5.5,,30m,20m,25m,20m,,,,,
4,Equestra,The Oasis,2025,"15,000,000",+8% (Since Launch),Emaar Properties,The Oasis,Luxury Villas,Waterfront/Luxury,,,,,"15,000,000","1,900","1,980",5.2,"1,600",5.5,,30m,20m,25m,20m,,,,,
5,Chevalia Estate 2,The Oasis,2025,"16,000,000",+5% (Since Launch),Emaar Properties,The Oasis,Mansions,Waterfront/Luxury,,,,,"16,000,000","2,200","2,310",6,"1,600",5.5,,30m,20m,25m,20m,,,,,
6,Selvara Phase 3,Grand Polo Club,2025,"6,200,000",+7% (Since Launch),Emaar Properties,Grand Polo Club,Villas,Gated/Sport,,,,,"6,200,000","1,550","1,660",4.8,,,,40m,10m,35m,25m,,,,,
7,Selvara Phase 4,Grand Polo Club,2026,"6,450,000",+2% (Since Launch),Emaar Properties,Grand Polo Club,Villas,Gated/Sport,,,,,"6,450,000",,"1,620",4.8,,,,40m,10m,35m,25m,,,,,
8,Rashid Yachts & Marina,Port Rashid,2022,Community,+45% (Community Avg),Emaar Properties,Port Rashid,Apartments,Waterfront/Marina,,,"1,600","1,880","2,100","2,310","2,450",18.5,,,,15m,40m,15m,25m,,,,,
9,Aurea,Rashid Yachts,2024,"1,900,000",+20%,Emaar Properties,Rashid Yachts,Apartments,Waterfront/Marina,,,,,"2,200","2,500","2,680",19,"1,800",6.0,,15m,40m,15m,25m,,,,,
10,Pier Point,Rashid Yachts,2024,"3,190,000",+14%,Emaar Properties,Rashid Yachts,Apartments,Waterfront/Marina,,,,,"2,150","2,410","2,550",19,"1,800",6.0,,15m,40m,15m,25m,,,,,
11,Marina Cove,Dubai Marina,2024,"2,030,000",+12%,Emaar Properties,Rashid Yachts,Apartments,Waterfront/Marina,,,,,"2,050","2,250","2,360",18,"1,900",6.5,,25m,25m,20m,0m,,,,,
12,Sera 2,Rashid Yachts,2024,"2,110,000",+11%,Emaar Properties,Rashid Yachts,Apartments,Waterfront/Marina,,,,,"2,100","2,330","2,450",18.5,"1,800",6.0,,15m,40m,15m,25m,,,,,
13,Ocean Cove,Rashid Yachts,2024,"3,220,000",+10%,Emaar Properties,Rashid Yachts,Apartments,Waterfront/Marina,,,,,"2,250","2,520","2,670",19,"1,800",6.0,,15m,40m,15m,25m,,,,,
14,Baystar,Rashid Yachts,2024,"2,100,000",+15%,Emaar Properties,Rashid Yachts,Apartments,Waterfront/Marina,,,,,"2,300","2,620","2,800",19.5,"1,800",6.0,,15m,40m,15m,25m,,,,,
15,Seagate,Rashid Yachts,2022,"2,300,000",+38%,Emaar Properties,Rashid Yachts,Apartments,Waterfront/Marina,,,"1,650","1,900","2,120","2,330","2,470",18.5,"1,800",6.0,,15m,40m,15m,25m,,,,,
16,Clearpoint,Rashid Yachts,2023,"2,500,000",+25%,Emaar Properties,Rashid Yachts,Apartments,Waterfront/Marina,,,,"1,750","2,010","2,230","2,380",18.5,"1,800",6.0,,15m,40m,15m,25m,,,,,
17,Sunridge,Rashid Yachts,2023,"2,400,000",+22%,Emaar Properties,Rashid Yachts,Apartments,Waterfront/Marina,,,,"1,700","1,940","2,130","2,260",18.5,"1,800",6.0,,15m,40m,15m,25m,,,,,
