project,developer,total_leads,replied_leads,response_rate,top_country,campaigns
Mayfairnozero,,1005,1005,100.00%,nan,1
OpenHouse,Binghatti,213,213,100.00%,Saudi Arabia,3
mix,,93,93,100.00%,UAE,1
Mayfai (1),,69,69,100.00%,International,1
Mayfai,,68,68,100.00%,International,1
Altiera,Ellington,63,63,100.00%,UAE,3
dheG2,,7626,63,0.83%,UAE,1
Affini,Al Jaddaf,1036,57,5.50%,UAE,1
HillsEdge,Emaar,53,53,100.00%,UAE,1
DOWNTOWN,RIXOS,53,53,100.00%,UAE,1
Mayfair2222 (1),,52,52,100.00%,UAE,1
n089,,49,49,100.00%,International,1
23April,GrandPolo,9717,45,0.46%,Unknown,3
55,,880,42,4.77%,UAE,1
DCHMIX,,41,41,100.00%,UAE,1
EmiratesTowers,Jumeirah Residences,41,41,100.00%,UAE,5
Marina,Kempinski,33,33,100.00%,UAE,1
GrandPolo23,,32,32,100.00%,UAE,1
TilalAlGhaf,GhafWoods,29,29,100.00%,UAE,1
DSP,OCTA,29,29,100.00%,UAE,2
Aldar,TheWilds,26,26,100.00%,UAE,2
hillside IVR Data,,26,26,100.00%,UAE,1
Canal Crown,,25,25,100.00%,UAE,1
TAG,GhafWoods,22,22,100.00%,International,1
farmgrouve,,22,22,100.00%,UAE,1
zdsg,,21,21,100.00%,International,1
DCHMIX (1),,18,18,100.00%,UAE,1
Emaar,RYM,18,18,100.00%,UAE,1
Openhousedhe2,,17,17,100.00%,UAE,1
mayfairrrrsssopti,,17,17,100.00%,UAE,1
